text,label
सबै जना गुलाबमा काडा,nu
छ भनेर गनगन गर्छन,nu
म आफैलाई गर्व गर्छु,p
त्यो काडामा तिमी जस्तो गुलाब जो फुलेको छौचाहे तिमी सहि गर,p
या गलत तिम्रा बारे नकरात्मक सोच राख्ने मानिसहरु तिम्रै वरिपरि रहनेछन्,n
हजुरको सत्कर्म ले कमिएकाहजुर का र हाम्रा दुश्मन,n
हजुर को जस्तो मुटु छैन तिनीहरु को तिनीहरुक,p
अौकात भनेको राम्रो मान्छे को खुट्टा तान्नु रैछ,p
पगाल कुकुर,n
पहिला रेबिजको सुई लाउने,n
अनि त्यस्ता पगाल कुकुरहरु,n
लाई छानी छानी उपचार गर्ने,nu
हो सर,nu
सलाम छ हजुरलाई,nu
बधाई छ रवि दाजु,p
सञ्जालमा देखिने-भेटिने आदर्शवादी,p
व्यक्तिहरु मध्य केहि प्रतिशत व्यक्ती,nu
दुरुस्तै देखिने-भेटिने हो भने,nu
दैविक सुखको कल्पना कसैले गर्नै पर्दैनथ्यो,p
नेपाल भन्ने मुलुकका बुद्दिजीबी,p
भनौदाहरु र काम गर्न खोज्दा खुट्टा तानेर,n
उत्तानो पार्ने दिग्भ्रमितहरुको जमातले म अरबमा,n
बेचिएको बेचिऐ छु,n
तपाईँ अटल रहनुहोस्,p
दाजु तपाईको पक्षमा हामि छौ,p
तपाईले गरेका हरेक कार्यहरू जायज छन,p
खुट्टा कमाई सकेका छन देशका कुख्यात देशघातिहरूले,n
हजुर लाईकुकर्मले तिमीले कमाएका,n
तिम्रा मित्रहरु भन्दा सत्कर्मले मैले कमाएका,p
मेरा दुश्मनहरु,n
मलाई प्यारा छन्,p
९६ वर्षकी हजुर आमालाई सम्पत्तिकालागि नातीहरुले निकालिदिएछन,n
आज उहाँ रुदै रुदै कार्यक्रममा आउनु भयो,n
अत्यन्त भावुक बनायो आमाको पीडाले,n
कसैले नहेरे उनलाई,n
५० लाख खर्च गरेर बनाएको शौचालयको हालत हेर्नुहोला,nu
मेयर साब सङको कुरा सुन्दा त शौचालय भन्दा धेरै राजनीति गनाएको महसुश हुनेछ,n
अनि बिना पर्मिट बिना हेल्मेट ९ वटा चेक पोष्ट छ्लेर वर्दिमै आएका भारतीय प्रहरीलाईपनि हेर्नु होला,n
नागरिकता लाईसेन्स शैक्षिक प्रमाणपत्र जस्ताको त्यस्तै तर नक्कली,n
बनाउनेहरुको स्टिङ अपरेसन गरेका छौअर्काले पालेको गाई चोरेर,n
लगेर काटि खानेहरु,n
बारेको रिपोर्टिङपनि आज गरिएको छ,nu
बाध्य गराउछ यसर्थमा मारुम न भनेर हतार,n
गर्या हो दाइ के भन्नुहुन्छ,nu
१०४ वर्षको राणा शासन देखिएन तर सुनियो अहिले न्यायालयमा देखिएको राणा शासन बारे सुनिदैछ,nu
र देख्ने खुब ईच्छा छएकै साथ ५ न्यायाधीश माथी छानबिन हुनु सामन्य आट होइनप्रधान न्यायाधीश चोलेन्द्र शम्शेर राणाका एक पछि अर्का दमदार कदमले सकारात्मक,p
संकेत गर्दैछन्,nu
त्यही पुल बन्यो भने धेरै नेताले भोट माग्ने बहाना नै गुमाउछन,nu
पुल बनेन र अझै धेरै वर्ष बन्दैन,n
पुलको राजनीति कस्तो गजबको,p
