,text,label
0, bajar le jasari trenda chenja garyo yo herda tatkal prophit bukin aaune sambhawana rahen ! bholi arko trenda samatna sakne abastha pani daro chha,2
1, 1000 amkale ghateko nepse 200 amkale badhnu thulo kuro hoin ajhai pani kinne awasar chha hai.,1
2," hoin yo sanima baimk le bonus ghosana gareko 2 mahina bhayo (book close ) ahile samma khatama aaudain ta , byaj samg dine yojana rahechh ki kya ho",2
3," khain MBJC prati kittama ru,10/-le badhera aaj ru,1100/- matra bhayo 10kittako !",2
4, ram्ro bhayo️️,1
5," madhyabhotekoshiko sheyar ,, karmachari samnchayakosh ka samnchayakartaharuko namama pareko sheyar kahile mero sheyarama dekhaunchh hola ????? prasta paridinu hola ,",2
6, janakariko lagi dhanyawad ramhari bradar,1
7, haidro ra phainansa bum bum bhanna chhodiechha ta ?,2
8, Profit booking le yatro ankako girawat ta naaaunu parne. kehi hadasamma pyanik nai dekhiyo. ajh pani laganikartaharu wiswasta dekhiena. pheri pani pyanik aaune sambhawana dekhiyo.,2
9, pheri bharchual mitin kahile hunchha daju hajur janakari garaunus hai.,2
10, 2500 kras nagarne bhayo sara.....hai kyap wala sabai ghatyo... herda herdau ali ali phaida bhaeko pani lastama las nai bhayo,2
11, ho ...ho sara!,2
12, sagotri bandu swastha ko khyal garnu hola.,2
13, yo enalaisisko edikta po bhai sakie chha.nasuni chitai mandaina.,2
14, aaj dekhi maile pahile choti secondary bat karobar gareko aajaai 4300 chuna lagyo,2
15, Sir ! NTC ma lamo samay laganigarda kasto hola ? batai dinu na .,2
16, manau maile kunai kampani buk kloj bhanda 1 dinaaghi kine ra praij edajasmenta pachhi bonas prapta nagardai beche. ukta kampani bechisakepachhi maile bonas seyar prapta garchhu ki gardin ? garema kati samayama aaunchha?,2
17," 70 karod ghus prakaranama yasari risae gokul banskota, gagan ra wiswaprakashalai kalapani jan chunauti",2
18," bharata-madhes ra nepala-chin sambandha wigranchha, madhesi neta aru dalako bhariya : da.rajesh ahiraj",0
19," bhim rawalako khulasa : emale chhodera nayan dal kholne, emasisi padhna deuwalai aagraha, parit gare durghatana",2
20, rajanitik swartha ra lahadama jathabhawi wimanasthal banaune hod | Galaxy News Report,2
21," prachandale khumalatar chhoddaih paidal hindne, jhupadima dera sarne | Prachand | Yaksh Prashn",2
22," durga prasaiko ghoshana : bhim rawalale emale chhodne, oli mahamanawa, deuwa, prachanda ra madhabako bhandaphor",2
23, kamgres neta minendra rijalalai yaksha prasnah sakriy rajanitibat wisram lieko ho? Dr. Minendr Rijal,2
24, pradhanamantrilai ab thula bhrastacharako phail kholna lagaunchhu | AP CENTER | AP1HD,2
25," lekhanath nyaupaneko khulasa,mahadhibeshanama emasisiko kura garnelai juttako mala lagaera kalo moso dalinchha .",0
26," MCC BAHAS | emasisi: sandeha, samwad ra samadhan | AP1HD",2
27, prachandalai 'yaksha prasna' - deuwako jyotishi ko ? chhabilal ho ?,2
28, je garepani emasisile samkat nimtaune dekhiyo' | Gebate With Nimesh Banjade | Surendr Pandey | EP 47,0
29," arthamantri sharmako khulasa:emasisi sahamatima parita,deuwa prachanda gathabandhan nirantara,maowadima pariwartan",2
30," prachandako sanasanipurna khulasa, madhawa, baburam, baidya ra wiplawasahitako nayan parti banaune",2
31, dhurmus ra rawilai gali garera thakenan hem thapa | GLAMOUR GUFF | Epi 65 | PRAKASH SUBEDI | HEM THAPA,2
32," sipi gajurelako khulasa: prachandasang ekataka lagi yasto chha prastawa; baidya, baburam ra biplawale ke garlan ?",2
33," olisang adhyakshama parajit bhaeka bhim rawalako pahilo antarawarta, partibhitra yo hadasammako shadyantra bhayo .",2
34, yo bhrastachari lai kin yeti ghamanda ?? 70 karod ko pardaphas huda ni yeti dherai aatmabal😡,0
35, gokule bhanna bitikai 70 karod ko matra yad aaunchha.70 karod 70 karod,2
36, 👉️ 70 karodako ajhai kati dherai churiphuri chha thukka hamro deshaka naitikata nabhaka chor netaharu 😠😠,0
37, kin lyako yasalai ? sattari karodako anuhar dekhna pani man chhaina.,2
38, jasale je sukai bhanepani gokul baskota kabhreko badsah huna.✊✊✊,1
39, yo manchheko thopda dekhyo ki khopadi garam hune ma matra hola ki ke ho?,0
40, yasta bhrastaharulai rojera pathaune hami janata kasta bhanya?,2
